District_ID,SE_15_16_AlgI,SE_15_16_AlgII,SE_15_16_Geo,SE_15_16_1,SE_15_16_2,SE_15_16_3,SE_15_16_4,SE_15_16_5,SE_15_16_6,SE_15_16_7,SE_15_16_8,SE_15_16_K,SE_15_16_PreCalc,SE_15_16_Tot
001i000001JPdCqAAL,0,0,0,1,1,1,1,1,0,0,0,1,0,23
001i000001Jy6fNAAR,0,0,0,100,100,100,100,105,0,0,0,100,0,2315
001i000001K24pQAAR,0,0,0,725,725,725,750,790,0,0,0,0,0,14070
001i000001k6FelAAE,0,0,0,20,20,20,20,20,20,20,20,20,0,640
001i000001KteLHAAZ,0,0,0,20,20,20,20,20,20,0,0,20,0,520
001i000001KXTU1AAP,0,0,0,105,137.5,115,95,73.33333333,0,0,0,90,0,2120
001i000001L3QQwAAN,0,0,0,20,20,0,25,22,12,17,18,20,0,547
001i000001L6KlUAAV,0,0,0,425,445,470,505,465,535,526,6,0,0,11964
001i000001lBTglAAG,0,0,0,100,100,100,100,100,85,90,90,100,0,3095
001i000001lEivMAAS,0,0,0,0,1,0,0,0,0,0,0,1,0,2
001i000001LkcmNAAR,4,4,4,5,5,5,5,5,5,5,5,5,4,192
001i000001LkcmwAAB,0,0,0,425,400,0,0,0,0,0,0,400,0,4900
001i000001LkqQKAAZ,0,0,0,0,0,0,188.75,170,170,0,0,0,0,1775
001i000001LlPLlAAN,0,0,0,60,60,60,60,60,60,60,0,60,0,1740
001i000001LmKl2AAF,30,80,40,0,0,0,0,10,60,30,30,0,0,690
001i000001LmLzyAAF,0,0,0,181.25,250,295,363.75,0,0,0,0,27,0,4468
001i000001LmttfAAB,0,0,0,0,0,4,5,5,180,0,0,0,0,591
001i000001LPNjZAAX,0,0,0,100,100,100,100,100,100,100,100,100,0,3200
001i000001M6mBXAAZ,0,0,0,33,35,39,43,35,43,40,45,0,0,1089
001i000001M7p5pAAB,0,0,0,0,0,700,600,600,0,0,0,0,0,7000
001i000001madFGAAY,0,0,0,25,25,25,25,0,0,0,0,25,0,325
001i000001mag5vAAA,0,0,0,5,3,3,6,3,3,0,0,3,0,98
001i000001maJ8oAAE,0,0,0,1,0,0,0,1,0,0,0,0,0,2
001i000001maX4WAAU,0,0,0,82.5,71,27,115,105,0,0,0,25,0,1597
001i000001MH4kcAAD,0,0,0,244,370,220,208,191.3333333,0,0,0,220,0,5622
001i000001MHRmjAAH,0,0,0,1,0,0,0,0,0,0,0,1,0,8
001i000001MIfSFAA1,0,0,0,0,0,20,10,10,0,0,0,0,0,150
001i000001MJPMZAA5,0,0,0,131,125,138,142,149,0,0,0,90,0,2951
001i000001MJPvtAAH,0,0,0,120,95,120,120,0,0,0,0,95,0,2200
001i000001MK5b8AAD,0,0,0,50,50,50,50,250,0,0,0,50,0,1750
001i000001MKFN1AAP,0,0,0,45,30,25,0,0,0,0,0,45,0,580
001i000001MlL4VAAV,0,0,0,345,382.5,360,382.5,320,0,0,0,405,0,8460
001i000001MlTEHAA3,0,0,0,0,0,0,0,55,55,0,0,0,0,330
001i000001MmaUUAAZ,0,0,0,175,175,175,175,200,200,225,225,150,0,5950
001i000001MmmRHAAZ,0,0,0,0,0,1,1,1,1,1,1,0,0,6
001i000001MnNI4AAN,0,0,0,200,200,280,280,280,0,0,0,200,0,5480
001i000001MnSadAAF,0,0,0,492.75,512.5,511.25,517.5,484,433,348,249,437.75,0,14429
001i000001MnZ2vAAF,0,0,0,342,306,469,469,424,465,702,722,327,0,14591
001i000001mXBKOAA4,0,0,0,3,3,3,3,0,0,0,0,0,0,48
001i000001mZ4BTAA0,0,0,0,0,0,0,0,0,120,90,0,0,0,420
001i000001mZMEeAAO,0,0,0,100,100,0,0,0,0,0,0,100,0,500
001i000001N9Mq5AAF,0,0,0,205,700,725,720,690,0,0,0,185,0,12210
001i000001NB8k0AAD,180,0,0,57.5,0,210,226.25,160,65,0,90,40,0,3245
001i000001NBMAxAAP,0,0,0,152,122,117,106,126,106,0,0,172,0,3372
